condition,trait,target_direction,n,mean_consistency,mean_bfi_score,mean_trait_score,mean_bfi_target_attainment,mean_trait_target_attainment
as_pas_only,agreeableness,high,150,0.9486742851573398,0.5555555555555568,0.5286680049128847,0.05555555555555542,0.02866800491288476
as_pas_only,agreeableness,low,150,0.89697438689503,0.5555555555555568,0.4554662561598239,-0.05555555555555542,0.044533743840175964
as_pas_only,conscientiousness,high,150,0.947890491166443,0.5833333333333328,0.5500880045979737,0.08333333333333348,0.05008800459797346
as_pas_only,conscientiousness,low,150,0.9006654850381174,0.5833333333333328,0.4849728897516836,-0.08333333333333348,0.015027110248316383
as_pas_only,extraversion,high,150,0.8984746729548347,0.625,0.5234746729548356,0.125,0.02347467295483534
as_pas_only,extraversion,low,150,0.8326804757073907,0.625,0.4576804757073908,-0.125,0.04231952429260907
as_pas_only,neuroticism,high,150,0.919479982412965,0.4375,0.5178892786636399,-0.0625,0.017889278663639978
as_pas_only,neuroticism,low,150,0.9690540938764586,0.4375,0.4483910779201008,0.0625,0.0516089220798989
as_pas_only,openness,high,150,0.8638109138342885,0.6749999999999982,0.5404292784241929,0.17500000000000046,0.040429278424193076
as_pas_only,openness,low,150,0.7697921140924819,0.6749999999999982,0.4447921140924818,-0.17500000000000046,0.05520788590751811
baseline,agreeableness,high,150,0.9265834830660824,0.5555555555555568,0.4938653934383596,0.05555555555555542,-0.006134606561640644
baseline,agreeableness,low,150,0.9265834830660824,0.5555555555555568,0.4938653934383596,-0.05555555555555542,0.006134606561640641
baseline,conscientiousness,high,150,0.9248309991813644,0.5833333333333328,0.5157206553665028,0.08333333333333348,0.015720655366502908
baseline,conscientiousness,low,150,0.9248309991813644,0.5833333333333328,0.5157206553665028,-0.08333333333333348,-0.0157206553665029
baseline,extraversion,high,150,0.8579541573816573,0.625,0.48295415738165776,0.125,-0.017045842618342574
baseline,extraversion,low,150,0.8579541573816573,0.625,0.48295415738165776,-0.125,0.017045842618342577
baseline,neuroticism,high,150,0.951942706793492,0.4375,0.4775184195277754,-0.0625,-0.02248158047222453
baseline,neuroticism,low,150,0.951942706793492,0.4375,0.4775184195277754,0.0625,0.022481580472224528
baseline,openness,high,150,0.8271726525981554,0.6749999999999982,0.5029160173915381,0.17500000000000046,0.0029160173915381564
baseline,openness,low,150,0.8271726525981554,0.6749999999999982,0.5029160173915381,-0.17500000000000046,-0.0029160173915381564
elaborate_prompt,agreeableness,high,150,0.7967948344795104,0.75,0.5467948344795105,0.25,0.04679483447951035
elaborate_prompt,agreeableness,low,150,0.9634407611083066,0.44444444444444337,0.4374668265616403,0.05555555555555542,0.06253317343835972
elaborate_prompt,conscientiousness,high,150,0.8797231057707487,0.6666666666666677,0.5472795052279816,0.16666666666666693,0.04727950522798196
elaborate_prompt,conscientiousness,low,150,0.8995651757955904,0.5555555555555568,0.4563055836361005,-0.05555555555555542,0.043694416363899445
elaborate_prompt,extraversion,high,150,0.7785157320828427,0.75,0.5285157320828424,0.25,0.02851573208284228
elaborate_prompt,extraversion,low,150,0.940106910643701,0.5,0.44334306257058054,0.0,0.056656937429419386
elaborate_prompt,neuroticism,high,150,0.7395976677800273,0.78125,0.5208476677800271,0.28125,0.020847667780027033
elaborate_prompt,neuroticism,low,150,0.9095385344554906,0.375,0.46542171925920334,0.125,0.03457828074079679
elaborate_prompt,openness,high,150,0.8353865452826019,0.7000000000000018,0.5368061317750651,0.1999999999999995,0.036806131775065073
elaborate_prompt,openness,low,150,0.9406010445077801,0.5,0.44392155255201554,0.0,0.0560784474479844
elaborate_prompt_as_pas,agreeableness,high,150,0.8093107405893643,0.75,0.5593107405893647,0.25,0.05931074058936447
elaborate_prompt_as_pas,agreeableness,low,150,0.9600105637774692,0.44444444444444337,0.428135611416034,0.05555555555555542,0.07186438858396607
elaborate_prompt_as_pas,conscientiousness,high,150,0.9044136898538068,0.6666666666666677,0.5739465422991455,0.16666666666666693,0.0739465422991449
elaborate_prompt_as_pas,conscientiousness,low,150,0.8889180236911166,0.5555555555555568,0.44518551587682764,-0.05555555555555542,0.0548144841231724
elaborate_prompt_as_pas,extraversion,high,150,0.8016373208085774,0.75,0.5516373208085777,0.25,0.051637320808577435
elaborate_prompt_as_pas,extraversion,low,150,0.9378059421525385,0.5,0.44224573416370316,0.0,0.05775426583629674
elaborate_prompt_as_pas,neuroticism,high,150,0.7546904221011462,0.78125,0.5359404221011459,0.28125,0.03594042210114581
elaborate_prompt_as_pas,neuroticism,low,150,0.9275253805702338,0.375,0.44714812277169985,0.125,0.05285187722830033
elaborate_prompt_as_pas,openness,high,150,0.8570917503612763,0.7000000000000018,0.5589875404748115,0.1999999999999995,0.058987540474811626
elaborate_prompt_as_pas,openness,low,150,0.9171162918841136,0.5,0.4182811581029824,0.0,0.08171884189701765
one_line_prompt,agreeableness,high,150,0.8188361974195718,0.7222222222222244,0.5412726952042691,0.22222222222222168,0.041272695204269204
one_line_prompt,agreeableness,low,150,0.6474674175010601,0.08333333333333347,0.43586591583227335,0.41666666666666574,0.06413408416772662
one_line_prompt,conscientiousness,high,150,0.5950349511203297,0.9444444444444444,0.5394793955647738,0.44444444444444337,0.03947939556477383
one_line_prompt,conscientiousness,low,150,0.9456584090752406,0.41666666666666574,0.4641721088112712,0.0833333333333334,0.03582789118872867
one_line_prompt,extraversion,high,150,0.6127377035867093,0.90625,0.5189877035867095,0.40625,0.01898770358670927
one_line_prompt,extraversion,low,150,0.9615494405588013,0.4375,0.4443156201762816,0.0625,0.055684379823718246
one_line_prompt,neuroticism,high,150,0.511149737674906,1.0,0.511149737674906,0.5,0.011149737674905973
